ID,Adoption,Died,Euthanasia,Return_to_owner,Transfer
1,0.08375,0.00125,0.06375,0.16375,0.6875
2,0.6497916666666665,0.0,0.0,0.27020833333333333,0.08
3,0.24625,0.00125,0.0075,0.4975,0.2475
4,0.285,0.00125,0.0525,0.34875,0.3125
5,0.39,0.00625,0.01375,0.46125,0.12875
6,0.1975,0.0,0.00125,0.745,0.05625
7,0.28,0.03625,0.20625,0.35875,0.11875
8,0.67,0.0,0.0325,0.03375,0.26375
9,0.92125,0.0,0.0,0.06,0.01875
10,0.52875,0.0,0.0425,0.37375,0.055
11,0.62625,0.0,0.00125,0.13375,0.23875
12,0.0125,0.0,0.10625,0.2075,0.67375
13,0.69375,0.0,0.005,0.06875,0.2325
14,0.85125,0.00125,0.01375,0.025,0.10875
15,0.8226041666666666,0.0,0.0025,0.13364583333333335,0.04125
16,0.74375,0.0,0.00125,0.21125,0.04375
17,0.4375,0.0,0.03,0.4285416666666667,0.10395833333333332
18,0.6752083333333334,0.00125,0.00625,0.26479166666666665,0.0525
19,0.22375,0.00125,0.01875,0.2675,0.48875
20,0.005,0.00875,0.34375,0.0175,0.625
21,0.71875,0.0,0.0125,0.195,0.07375
22,0.0,0.0,0.0025,0.0,0.9975
23,0.8616666666666666,0.0,0.00125,0.05125,0.08583333333333332
24,0.0,0.0025,0.0,0.0,0.9975
25,0.73625,0.0,0.0,0.24,0.02375
26,0.1175,0.00125,0.07875,0.1375,0.665
27,0.8514270833333335,0.0,0.0,0.00125,0.1473229166666667
28,0.02625,0.03125,0.1775,0.01625,0.74875
29,0.385,0.0,0.0875,0.38125,0.14625
30,0.38541666666666674,0.0,0.00625,0.5745833333333333,0.03375
31,0.14,0.01625,0.0275,0.16625,0.65
32,0.7270416666666667,0.0,0.0,0.0175,0.2554583333333334
33,0.15,0.01125,0.11125,0.10875,0.61875
34,0.99,0.00375,0.0,0.00625,0.0
35,0.5925,0.01,0.03125,0.0025,0.36375
36,0.57625,0.0,0.0225,0.25125,0.15
37,0.05375,0.00875,0.15125,0.035,0.75125
38,0.9425,0.0,0.00125,0.03,0.02625
39,0.31125,0.0,0.02875,0.57375,0.08625
40,0.1875,0.0025,0.0475,0.245,0.5175
41,0.155,0.0,0.03375,0.25875,0.5525
42,0.0,0.00625,0.01,0.0,0.98375
43,0.67125,0.0,0.01875,0.0975,0.2125
44,0.0,0.04125,0.00125,0.0,0.9575
45,0.31125,0.0125,0.1325,0.075,0.46875
46,0.16395833333333334,0.00375,0.039375,0.08375,0.7091666666666667
47,0.1925,0.045,0.03125,0.1525,0.57875
48,0.4720833333333333,0.0,0.00125,0.3241666666666667,0.2025
49,0.255,0.0,0.03375,0.3675,0.34375
50,0.0425,0.025,0.07,0.1925,0.67
51,0.01625,0.0,0.0,0.0025,0.98125
52,0.18,0.00125,0.0175,0.7525,0.04875
53,0.98,0.0,0.0,0.0025,0.0175
54,0.185,0.065,0.0975,0.00625,0.64625
55,0.02125,0.01,0.374375,0.08375,0.510625
56,0.195,0.0,0.0475,0.19125,0.56625
57,0.5125,0.0,0.005,0.43375,0.04875
58,0.0,0.008055555555555555,0.0,0.0,0.9919444444444444
59,0.0,0.0,0.0275,0.0,0.9725
60,0.9083333333333334,0.0,0.0,0.0075,0.08416666666666667
61,0.73375,0.0,0.0425,0.05125,0.1725
62,0.14875,0.0,0.165,0.51125,0.175
63,0.49375,0.0,0.0275,0.14875,0.33
64,0.0,0.00375,0.015,0.0,0.98125
65,0.0,0.00125,0.005,0.0,0.99375
66,0.84875,0.00125,0.01375,0.11375,0.0225
67,0.8475,0.0,0.0,0.00125,0.15125
68,0.33375,0.00375,0.12625,0.23875,0.2975
69,0.50125,0.0,0.1,0.3375,0.06125
70,0.00125,0.0,0.0,0.0,0.99875
71,0.00625,0.005,0.0175,0.005,0.96625
72,0.87875,0.0,0.0,0.1,0.02125
73,0.0,0.02625,0.01375,0.0,0.96
74,0.49875,0.0,0.01,0.185,0.30625
75,0.0,0.0,0.0125,0.0,0.9875
76,0.75875,0.00125,0.10375,0.005,0.13125
77,0.95125,0.0,0.0,0.0,0.04875
78,0.0625,0.0,0.07,0.01125,0.85625
