,amount_tsh,date_recorded,funder,gps_height,installer,longitude,latitude,wpt_name,num_private,basin,subvillage,region,region_code,district_code,lga,ward,population,public_meeting,scheme_management,scheme_name,permit,construction_year,extraction_type,extraction_type_group,extraction_type_class,management,management_group,payment,payment_type,water_quality,quality_group,quantity,quantity_group,source,source_type,source_class,waterpoint_type,waterpoint_type_group,date_recorded_year,date_recorded_month,date_recorded_day,date_recorded_weekday,amount_per_man,age,date_recorded_year_date_recorded_month_0_fq,date_recorded_year_date_recorded_month_1_fq,date_recorded_year_date_recorded_month_2_fq,basin_0_fq,basin_1_fq,basin_2_fq,lga_0_fq,lga_1_fq,lga_2_fq,extraction_type_class_0_fq,extraction_type_class_1_fq,extraction_type_class_2_fq,region_0_fq,region_1_fq,region_2_fq,management_0_fq,management_1_fq,management_2_fq,ward_0_fq,ward_1_fq,ward_2_fq,scheme_name_0_fq,scheme_name_1_fq,scheme_name_2_fq,region_code_0_fq,region_code_1_fq,region_code_2_fq,extraction_type_0_fq,extraction_type_1_fq,extraction_type_2_fq,construction_year_0_fq,construction_year_1_fq,construction_year_2_fq,date_recorded_year_0_fq,date_recorded_year_1_fq,date_recorded_year_2_fq,date_recorded_month_0_fq,date_recorded_month_1_fq,date_recorded_month_2_fq
51642,50.0,2013-01-24,World Bank,1135,AMP Contract,34.88276381,-5.79521733,Namba Nne,0,Internal,Igumira,Singida,13,3,Manyoni,Manyoni,400,True,VWC,Muhalala water supply,True,2008,mono,mono,motorpump,vwc,user-group,pay per bucket,per bucket,soft,good,enough,enough,machine dbh,borehole,groundwater,communal standpipe multiple,communal standpipe,2013,1,24,3,0.125,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47230,0.0,2012-10-27,Hsw,1247,HSW,33.84249268,-1.81162027,Kwa Mzee Mataro,0,Lake Victoria,Kuhoko,Mara,20,3,Musoma Rural,Kyanyari,250,Unknown,VWC,Unknown,True,1995,nira/tanira,nira/tanira,handpump,vwc,user-group,unknown,unknown,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,2012,10,27,5,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28353,0.0,2011-07-22,Dasip,0,MASWI,32.73329315,-2.57401313,Joshoni,0,Lake Victoria,Nyachina,Mwanza,19,5,Sengerema,Kasungamile,0,True,VWC,None,True,0,india mark ii,india mark ii,handpump,vwc,user-group,never pay,never pay,salty,salty,enough,enough,machine dbh,borehole,groundwater,hand pump,hand pump,2011,7,22,4,,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2368,0.0,2011-07-08,Roman Catholic Rulenge Diocese,0,Roman Catholic Rulenge Diocese,31.29811441,-2.66820856,Kwa Bosco,0,Lake Tanganyika,Kahororo,Kagera,18,4,Biharamulo,Biharamulo Urban,0,True,VWC,Unknown,True,0,nira/tanira,nira/tanira,handpump,vwc,user-group,pay when scheme fails,on failure,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,2011,7,8,4,,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31403,0.0,2011-08-11,Hesawa,0,DWE,0.0,-2e-08,Mugolozi,0,Lake Tanganyika,Barazani,Mwanza,19,6,Geita,Mwingiro,0,True,VWC,Unknown,True,0,nira/tanira,nira/tanira,handpump,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,2011,8,11,3,,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17765,500.0,2011-02-03,Adb,1560,DWE,34.98911997,-8.87906723,Hostel,0,Rufiji,Ilunda,Iringa,11,4,Njombe,Mahongole,40,True,Water Board,Mahongole Secondary gravity,False,2008,gravity,gravity,gravity,water board,user-group,pay when scheme fails,on failure,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,2011,2,3,3,12.5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43830,0.0,2013-02-19,World Bank,1221,DWE,35.89846842,-4.27616462,Kwa Ally Issa,0,Internal,Gedamar B,Manyara,21,1,Simanjiro,Loibor Siret,32,True,Water Board,Gedamar water supply,True,2012,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,river,river/lake,surface,communal standpipe multiple,communal standpipe,2013,2,19,1,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36382,0.0,2013-01-19,Fini Water,8,Fini water,39.62890820000001,-10.05385573,Zahanati,0,Ruvuma / Southern Coast,Mitumbati,Lindi,80,62,Lindi Urban,Jamhuri,500,True,Unknown,Unknown,True,2005,nira/tanira,nira/tanira,handpump,vwc,user-group,unknown,unknown,soft,good,enough,enough,machine dbh,borehole,groundwater,hand pump,hand pump,2013,1,19,5,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14689,0.0,2011-02-26,Matimbwa Sec,-7,Ma,38.86904695,-6.53834847,Matimbwa Sec School,0,Wami / Ruvu,Ngogomoni,Pwani,6,1,Bagamoyo,Yombo,500,True,Parastatal,Unknown,False,2005,other,other,other,parastatal,parastatal,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,other,other,2011,2,26,5,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23535,0.0,2013-02-22,World Bank,1546,DWE,35.5636428,-4.20574932,Qangara,0,Internal,Merehasi,Manyara,21,1,Babati,Arri,1200,True,VWC,Unknown,True,2011,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,insufficient,insufficient,river,river/lake,surface,communal standpipe multiple,communal standpipe,2013,2,22,4,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
