,amount_tsh,date_recorded,funder,gps_height,installer,longitude,latitude,wpt_name,num_private,basin,subvillage,region,region_code,district_code,lga,ward,population,public_meeting,scheme_management,scheme_name,permit,construction_year,extraction_type,extraction_type_group,extraction_type_class,management,management_group,payment,payment_type,water_quality,quality_group,quantity,quantity_group,source,source_type,source_class,waterpoint_type,waterpoint_type_group,date_recorded_year,date_recorded_month,date_recorded_day,date_recorded_weekday,amount_per_man,age,date_recorded_year_date_recorded_month_0_fq,date_recorded_year_date_recorded_month_1_fq,date_recorded_year_date_recorded_month_2_fq,basin_0_fq,basin_1_fq,basin_2_fq,lga_0_fq,lga_1_fq,lga_2_fq,funder_0_fq,funder_1_fq,funder_2_fq,installer_0_fq,installer_1_fq,installer_2_fq,subvillage_0_fq,subvillage_1_fq,subvillage_2_fq,wpt_name_0_fq,wpt_name_1_fq,wpt_name_2_fq,extraction_type_class_0_fq,extraction_type_class_1_fq,extraction_type_class_2_fq,region_0_fq,region_1_fq,region_2_fq,management_0_fq,management_1_fq,management_2_fq,ward_0_fq,ward_1_fq,ward_2_fq,scheme_name_0_fq,scheme_name_1_fq,scheme_name_2_fq,region_code_0_fq,region_code_1_fq,region_code_2_fq,extraction_type_0_fq,extraction_type_1_fq,extraction_type_2_fq,construction_year_0_fq,construction_year_1_fq,construction_year_2_fq,date_recorded_year_0_fq,date_recorded_year_1_fq,date_recorded_year_2_fq,date_recorded_month_0_fq,date_recorded_month_1_fq,date_recorded_month_2_fq
32186,200.0,2013-02-03,Tasaf,573,TASAF,37.43695749,-11.09700598,Kwa Mama Tambala,0,Ruvuma / Southern Coast,Msikitini,Ruvuma,10,1,Tunduru,Tuwemacho,1,True,VWC,Unknown,False,2004,other - swn 81,other handpump,handpump,vwc,user-group,pay monthly,monthly,soft,good,insufficient,insufficient,machine dbh,borehole,groundwater,hand pump,hand pump,2013,2,3,6,200.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16697,0.0,2012-10-24,World Vision,0,Unknown,32.2286668,-3.26965956,Balatogwa,0,Lake Tanganyika,Ngemo A,Shinyanga,17,5,Bukombe,Ushirika,0,True,WUG,Unknown,True,0,nira/tanira,nira/tanira,handpump,wug,user-group,unknown,unknown,soft,good,insufficient,insufficient,shallow well,shallow well,groundwater,hand pump,hand pump,2012,10,24,2,,2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,-0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22374,0.0,2013-04-04,Government Of Tanzania,862,Government,37.547209,-3.38561442,Kituo Cha Polisi,0,Pangani,Parokia,Kilimanjaro,3,4,Moshi Rural,Makuyuni,1,True,Company,Mananga-himo pipeline,True,2011,gravity,gravity,gravity,company,commercial,never pay,never pay,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,2013,4,4,3,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41425,0.0,2013-01-15,Wateraid,1487,WATER,34.80026833,-4.76120765,Kwa Shabani Abdalah,0,Internal,Mwaghumpi,Singida,13,4,Singida Urban,Mtipa,153,False,WUG,Unknown,True,2005,afridev,afridev,handpump,wug,user-group,never pay,never pay,soft,good,seasonal,seasonal,shallow well,shallow well,groundwater,hand pump,hand pump,2013,1,15,1,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,-0.0,0.0,-0.0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51254,0.0,2011-03-23,Tado,675,Local technician,38.22943646,-4.79562913,Kwa Mbumbuli,0,Pangani,Migombani,Tanga,4,2,Korogwe,Mazinde,150,True,VWC,Mazinde ngua water,False,1994,gravity,gravity,gravity,vwc,user-group,never pay,never pay,soft,good,enough,enough,river,river/lake,surface,communal standpipe,communal standpipe,2011,3,23,2,0.0,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,0.0,2011-08-14,Kkkt,0,KKKT,33.20344175,-9.07440778,Sailos,0,Lake Rukwa,Nzovu,Mbeya,12,6,Mbozi,Iyula,0,False,VWC,Unknown,False,0,nira/tanira,nira/tanira,handpump,vwc,user-group,pay when scheme fails,on failure,soft,good,seasonal,seasonal,shallow well,shallow well,groundwater,hand pump,hand pump,2011,8,14,6,,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52550,1000.0,2011-03-16,Mkinga  Distric Cou,0,DWE,38.80303031,-4.861744,Maziwa,0,Pangani,Darajani,Tanga,4,8,Mkinga,Maramba,500,True,Private operator,Maramba gravity spri,True,1995,gravity,gravity,gravity,private operator,commercial,pay monthly,monthly,soft,good,insufficient,insufficient,spring,spring,groundwater,communal standpipe,communal standpipe,2011,3,16,2,2.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57872,0.0,2011-08-05,Unknown,0,Unknown,33.5448296,-2.54763803,Kwa Filemon,0,Lake Victoria,Nyashimba,Mwanza,19,2,Magu,Lubugo,0,True,VWC,Unknown,True,0,other - swn 81,other handpump,handpump,vwc,user-group,never pay,never pay,soft,good,enough,enough,shallow well,shallow well,groundwater,hand pump,hand pump,2011,8,5,4,,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22682,0.0,2013-03-15,Lawatefuka Water Supply,1372,Lawatefuka water sup,37.09225215,-3.17137725,Kwa Fransis Swai,0,Pangani,Moniko,Kilimanjaro,3,7,Siha,Siha Kaskazini,1,True,Water Board,BL Moniko Shule,True,2009,gravity,gravity,gravity,water board,user-group,pay monthly,monthly,soft,good,enough,enough,spring,spring,groundwater,communal standpipe,communal standpipe,2013,3,15,4,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,1.0,-0.0,-0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6106,1000.0,2011-03-15,Danida,1865,DWE,35.09041902,-8.52446598,none,0,Rufiji,N,Iringa,11,2,Mufindi,Igowole,0,True,VWC,Unknown,True,0,swn 80,swn 80,handpump,vwc,user-group,pay annually,annually,soft,good,enough,enough,hand dtw,borehole,groundwater,hand pump,hand pump,2011,3,15,1,inf,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
