id,status_group
0.0,functional
0.0,functional
0.0,functional
0.0,non functional
500.0,functional
0.0,functional
0.0,non functional
0.0,non functional
30.0,non functional
0.0,functional
5.0,functional
0.0,non functional
0.0,non functional
0.0,non functional
1000.0,functional
1200.0,functional
0.0,functional
200.0,functional
0.0,functional
0.0,non functional
0.0,functional
0.0,functional
0.0,non functional
0.0,non functional
0.0,functional
200.0,functional
0.0,non functional
0.0,non functional
0.0,functional needs repair
0.0,functional
5.0,functional
0.0,non functional
0.0,non functional
20.0,functional
500.0,functional
500.0,functional
0.0,functional
1000.0,functional
0.0,non functional
0.0,non functional
50.0,non functional
0.0,functional
0.0,non functional
0.0,non functional
0.0,functional
0.0,non functional
0.0,functional
50.0,functional
0.0,functional
0.0,functional
0.0,functional
0.0,functional
1500.0,non functional
0.0,non functional
0.0,non functional
0.0,non functional
0.0,functional
0.0,non functional
0.0,functional
0.0,non functional
0.0,functional
0.0,functional
500.0,functional
0.0,non functional
2400.0,functional
1000.0,functional
0.0,functional
0.0,non functional
0.0,functional
7.0,functional
500.0,non functional
500.0,functional needs repair
0.0,functional
0.0,non functional
0.0,non functional
0.0,functional
1000.0,functional
7.0,functional
0.0,functional
500.0,non functional
0.0,functional
0.0,functional
0.0,non functional
0.0,functional
0.0,functional
0.0,functional
0.0,functional
0.0,non functional
0.0,functional
7500.0,functional
50.0,functional
2000.0,non functional
0.0,functional
0.0,non functional
300.0,functional
0.0,functional
100.0,functional
500.0,functional
0.0,functional
0.0,non functional
0.0,non functional
0.0,non functional
0.0,non functional
10.0,functional
0.0,functional
0.0,non functional
0.0,functional
250.0,functional
500.0,functional
0.0,functional
20.0,functional
0.0,non functional
100.0,functional
1000.0,functional
50.0,functional
0.0,functional
0.0,non functional
100.0,functional
0.0,functional
0.0,non functional
0.0,non functional
100.0,functional
0.0,functional
0.0,functional
20.0,functional
0.0,non functional
0.0,functional
5.0,functional
0.0,functional
0.0,functional
500.0,functional
100.0,functional
0.0,non functional
0.0,non functional
0.0,functional
0.0,functional needs repair
0.0,functional
0.0,non functional
0.0,functional
0.0,functional
0.0,functional
0.0,non functional
50.0,non functional
0.0,non functional
0.0,non functional
5.0,functional
0.0,non functional
0.0,non functional
0.0,non functional
50.0,non functional
0.0,functional
0.0,functional
0.0,functional
0.0,functional
0.0,non functional
500.0,functional
0.0,functional
0.0,non functional
0.0,functional
0.0,non functional
50.0,functional
0.0,non functional
0.0,non functional
0.0,non functional
0.0,functional
0.0,non functional
0.0,non functional
0.0,functional
0.0,functional
0.0,functional
0.0,non functional
0.0,functional
200.0,functional
0.0,non functional
0.0,functional
0.0,functional
0.0,functional
0.0,non functional
50.0,functional
50.0,functional
0.0,non functional
4000.0,functional
3000.0,functional
500.0,functional
1000.0,non functional
0.0,non functional
0.0,non functional
0.0,non functional
0.0,non functional
0.0,functional
0.0,functional
0.0,functional
0.0,functional needs repair
2500.0,functional
20.0,functional
0.0,non functional
0.0,functional
0.0,non functional
0.0,functional needs repair
0.0,non functional
25.0,functional
0.0,non functional
0.0,functional
0.0,functional
0.0,non functional
0.0,non functional
0.0,non functional
0.0,functional
1000.0,functional
2000.0,functional
0.0,functional
10.0,non functional
0.0,functional
0.0,non functional
1000.0,functional
6.0,functional
0.0,non functional
0.0,functional
50.0,non functional
0.0,functional
0.0,functional
0.0,non functional
1000.0,functional
500.0,non functional
